event,det,row,col,a00,a01,a02,a03,a04,a05,a06,a07,a08,a09,a10,a11,a12,a13,a14,a15,a16,a17,a18,a19,a20,a21,a22,a23,a24,a25,a26,a27,a28,a29
1,103,3,10,11,10,8,15,58,117,112,85,65,61,54,44,42,35,36,33,43,67,84,70,51,41,33,28,28,27,25,22,19,22
1,103,3,11,11,12,9,9,15,27,41,54,109,177,164,140,122,97,83,77,76,77,71,59,46,43,38,34,30,29,28,27,27,23
1,103,3,12,10,12,11,10,8,9,13,14,29,51,51,46,41,34,28,28,23,21,20,18,16,14,16,12,15,13,14,14,13,12
1,103,4,8,11,10,10,10,10,9,6,10,8,9,12,10,14,25,52,52,45,39,28,23,20,18,15,17,14,14,15,15,14,14
1,103,4,9,10,9,11,12,10,12,10,10,14,23,38,46,60,108,209,214,187,148,108,86,71,57,50,45,42,39,34,35,31,30
1,103,4,10,13,12,11,11,9,9,10,15,44,88,104,96,80,64,63,57,49,45,57,98,105,72,56,46,38,37,32,29,28,26
1,103,4,11,8,12,13,12,11,12,11,11,42,92,132,146,136,111,91,91,85,81,93,106,90,70,56,45,43,36,35,32,29,29
1,103,4,12,12,13,12,10,9,9,9,11,11,20,42,64,77,74,68,74,66,56,49,38,33,30,28,26,21,21,22,20,20,17
1,103,4,13,11,10,11,9,7,9,11,10,8,9,10,9,10,10,12,10,12,11,11,13,10,10,9,9,9,10,10,12,9,9
1,103,5,7,9,9,10,11,13,14,14,16,28,28,22,19,22,20,22,20,21,18,15,19,13,14,12,13,14,10,11,10,13,12
1,103,5,8,9,11,22,25,42,44,43,61,121,118,91,80,84,98,106,132,129,107,89,72,58,50,45,40,34,33,34,31,28,26
1,103,5,9,11,18,53,72,63,47,36,35,36,39,31,30,26,32,37,52,66,88,111,114,87,64,54,42,35,35,30,28,27,28
1,103,5,10,9,14,47,66,63,51,35,28,24,23,20,18,15,16,17,15,14,22,26,35,37,28,21,21,18,19,14,15,16,14
1,103,5,11,12,17,89,110,86,59,45,35,29,25,25,24,21,23,28,27,29,33,39,46,43,31,26,23,21,20,19,20,16,15
1,103,5,12,10,20,111,166,208,180,129,98,74,62,55,52,52,94,183,171,128,108,90,74,60,53,46,42,39,35,34,33,28,30
1,103,5,13,9,12,18,34,73,78,64,56,46,39,41,39,44,60,106,96,65,50,40,35,30,28,25,26,22,21,21,22,20,20
1,103,5,14,12,12,8,11,11,10,10,9,10,11,12,12,11,10,11,11,10,10,12,11,13,8,10,10,12,12,11,9,13,10
1,103,6,7,7,11,9,11,11,10,12,13,15,17,16,18,21,24,22,20,16,17,14,14,14,12,11,13,11,12,10,13,12,13
1,103,6,8,8,14,22,43,49,54,53,61,67,57,48,50,74,87,85,84,77,67,63,55,46,38,33,30,30,26,25,24,21,22
1,103,6,9,8,13,63,122,106,83,64,50,45,39,31,28,29,32,31,37,33,41,63,85,72,52,39,30,30,24,25,21,23,20
1,103,6,10,9,15,48,64,48,36,28,21,18,19,19,17,14,14,14,14,11,14,22,37,36,27,22,20,19,16,14,13,14,12
1,103,6,11,8,14,61,99,70,48,31,25,25,22,19,19,19,15,15,17,16,12,13,14,15,13,13,15,11,13,13,13,10,14
1,103,6,12,11,14,45,90,71,45,31,26,22,22,19,18,19,17,16,17,15,16,14,14,12,13,13,14,11,10,12,11,12,13
1,103,6,13,13,10,11,16,14,13,10,9,11,9,9,10,8,13,9,11,10,9,10,12,8,10,10,8,10,9,9,12,9,9
1,169,7,1,11,8,10,11,11,10,9,8,12,11,12,10,9,11,11,12,14,20,44,62,50,38,24,22,20,18,17,18,16,15
1,169,7,2,10,10,11,11,11,8,11,11,11,13,16,21,26,23,23,25,27,32,43,48,38,29,22,19,16,18,17,14,15,16
1,169,7,3,9,10,11,11,19,20,25,29,33,28,31,39,36,28,23,20,19,17,18,15,16,16,12,15,13,15,14,13,13,11
1,169,7,4,19,44,52,57,60,58,45,39,36,30,27,24,22,22,17,17,18,14,18,16,15,16,14,13,12,12,12,15,13,13
1,169,7,5,107,392,351,216,137,98,79,67,58,52,49,46,41,37,35,35,34,29,27,28,26,23,24,20,22,19,20,19,18,16
1,169,7,6,46,150,135,81,55,40,34,30,27,25,24,23,20,19,17,17,19,19,15,18,17,16,18,14,13,14,14,14,14,12
1,170,7,16,11,8,7,10,12,10,9,7,11,10,10,11,11,11,8,10,10,10,10,10,11,13,11,13,10,8,10,8,9,9
1,170,7,17,9,11,10,10,12,10,9,14,8,11,11,10,12,11,10,12,18,33,36,34,34,30,24,18,17,17,16,14,15,12
1,170,7,17,9,11,10,10,12,10,9,14,8,11,11,10,12,11,10,12,18,33,36,34,34,30,24,18,17,17,16,14,15,12
1,170,7,18,10,9,10,10,9,10,10,9,10,9,14,13,15,15,17,24,66,111,100,68,52,42,33,29,25,24,23,21,18,18
1,170,7,18,10,9,10,10,9,10,10,9,10,9,14,13,15,15,17,24,66,111,100,68,52,42,33,29,25,24,23,21,18,18
1,170,7,19,10,11,11,11,12,13,31,38,38,45,55,58,45,36,34,30,36,34,31,27,23,19,21,17,18,15,17,17,16,16
1,170,7,19,10,11,11,11,12,13,31,38,38,45,55,58,45,36,34,30,36,34,31,27,23,19,21,17,18,15,17,17,16,16
1,170,7,20,10,16,22,24,24,53,206,250,179,131,101,79,64,54,46,41,38,35,32,31,31,29,26,26,23,25,22,20,18,19
1,170,7,21,19,61,81,71,54,48,70,74,52,38,33,29,25,24,23,22,19,19,21,18,18,15,15,16,15,14,14,13,14,12
1,170,7,22,23,51,51,33,24,21,19,15,16,15,14,12,12,12,14,11,12,12,14,10,12,13,12,11,10,11,10,9,10,10
1,170,7,23,9,14,13,13,11,9,10,10,11,13,10,9,11,11,12,9,10,9,11,10,10,11,12,10,10,10,9,12,11,9
1,171,7,33,10,13,11,12,9,9,12,8,11,10,8,9,11,12,11,8,11,8,10,11,10,11,10,10,12,9,11,10,9,11
1,171,7,34,10,9,9,9,9,11,12,11,9,10,8,10,10,10,10,11,9,9,9,15,20,18,16,11,12,13,10,10,10,10
1,171,7,35,10,10,9,11,10,12,10,9,11,9,10,12,9,11,10,15,17,22,30,46,56,45,30,25,20,18,18,15,16,15
1,171,7,35,10,10,9,11,10,12,10,9,11,9,10,12,9,11,10,15,17,22,30,46,56,45,30,25,20,18,18,15,16,15
1,171,7,36,10,11,10,10,10,12,11,8,12,10,12,18,31,42,44,39,38,37,31,30,25,25,21,18,15,16,15,17,13,17
1,171,7,36,10,11,10,10,10,12,11,8,12,10,12,18,31,42,44,39,38,37,31,30,25,25,21,18,15,16,15,17,13,17
1,171,7,37,12,14,9,9,8,13,14,18,27,46,62,72,77,65,48,37,30,27,23,23,21,21,18,19,20,16,16,14,16,15
1,171,7,37,12,14,9,9,8,13,14,18,27,46,62,72,77,65,48,37,30,27,23,23,21,21,18,19,20,16,16,14,16,15
1,171,7,38,8,12,12,18,29,44,46,45,41,45,42,35,32,27,21,21,15,18,13,15,16,15,15,14,13,14,14,12,11,12
1,171,7,39,34,68,63,52,48,46,36,31,22,22,18,20,16,18,15,17,16,15,14,12,14,13,11,11,11,13,12,11,11,13
1,171,7,40,120,280,214,126,81,61,52,46,42,36,32,31,31,27,27,25,22,25,21,20,20,19,17,19,15,17,16,12,13,15
1,171,7,41,23,42,35,22,19,17,14,14,13,12,14,14,15,12,14,11,13,12,11,9,11,12,10,11,12,8,10,11,8,9
1,172,8,52,9,10,10,10,10,9,12,8,11,10,10,10,11,14,9,10,11,11,10,11,12,8,9,9,9,10,7,10,9,9
1,172,8,53,8,11,9,11,10,10,10,8,10,9,9,10,12,10,13,9,10,12,14,17,20,21,17,14,14,13,10,9,12,11
1,172,8,53,8,11,9,11,10,10,10,8,10,9,9,10,12,10,13,9,10,12,14,17,20,21,17,14,14,13,10,9,12,11
1,172,8,54,9,12,12,9,8,10,9,10,9,9,12,10,12,8,13,13,16,24,43,69,75,59,40,30,26,23,21,17,19,17
1,172,8,54,9,12,12,9,8,10,9,10,9,9,12,10,12,8,13,13,16,24,43,69,75,59,40,30,26,23,21,17,19,17
1,172,8,55,11,10,11,8,10,9,9,11,10,10,12,15,24,33,39,40,42,42,41,40,34,30,25,22,20,18,18,16,16,17
1,172,8,55,11,10,11,8,10,9,9,11,10,10,12,15,24,33,39,40,42,42,41,40,34,30,25,22,20,18,18,16,16,17
1,172,8,56,10,10,11,9,12,11,12,16,23,33,38,58,90,95,76,56,42,33,30,25,26,23,22,22,16,18,20,17,17,17
1,172,8,57,10,11,13,10,14,26,53,67,67,66,53,43,41,36,30,25,22,23,18,19,17,19,18,17,15,16,17,14,12,15
1,172,8,58,16,45,58,58,46,54,58,51,39,32,23,23,23,18,19,17,16,16,15,15,16,17,12,16,15,14,14,12,12,16
1,172,8,59,48,118,107,75,55,39,33,29,25,25,22,22,19,21,17,17,17,18,15,15,15,15,15,12,13,12,15,11,13,10
1,172,8,60,20,49,44,33,26,21,15,14,16,14,15,12,11,12,14,14,12,11,11,14,12,9,10,12,12,10,10,11,12,13
1,172,8,61,10,12,11,11,11,14,8,9,12,10,11,10,12,10,12,8,11,11,9,9,7,11,10,11,9,9,10,9,9,12
1,173,8,73,11,9,10,11,8,10,10,10,9,7,9,11,9,10,10,12,12,9,8,10,10,9,10,11,10,10,8,11,11,11
1,173,8,73,11,9,10,11,8,10,10,10,9,7,9,11,9,10,10,12,12,9,8,10,10,9,10,11,10,10,8,11,11,11
1,173,8,74,10,9,10,12,12,11,12,10,10,10,11,10,10,9,9,12,11,8,13,14,18,18,15,15,13,13,11,13,12,11
1,173,8,75,8,8,9,11,11,10,10,10,10,9,9,12,9,11,10,13,17,21,36,45,53,48,41,31,28,22,18,18,17,17
1,173,8,76,9,7,11,9,10,9,9,11,9,11,10,10,14,22,75,121,104,77,60,48,39,35,31,27,26,22,23,22,20,19
1,173,8,77,8,9,10,10,10,10,8,9,12,13,22,26,29,41,84,98,77,54,39,32,27,24,24,21,19,18,20,18,16,17
1,173,8,78,10,12,11,11,11,12,11,15,27,39,52,42,35,27,21,19,22,17,17,15,16,17,14,14,13,13,11,12,12,11
1,173,8,79,8,12,11,15,15,17,27,31,31,29,24,21,16,16,15,15,13,13,13,13,11,12,13,11,12,12,12,11,14,11
1,173,8,80,18,33,44,51,44,33,25,23,22,17,16,16,14,15,14,15,14,11,16,14,12,14,13,12,10,12,9,12,11,11
1,173,8,81,172,307,224,138,92,69,60,50,45,43,36,36,31,29,29,27,27,25,25,24,21,21,19,20,17,17,16,18,17,15
1,173,8,82,76,171,135,83,55,39,35,32,30,26,23,23,22,22,20,20,18,18,16,15,17,17,13,12,16,14,13,12,12,10
1,173,8,83,12,18,14,11,13,12,12,13,8,11,10,7,11,7,9,10,11,10,8,9,10,10,10,10,10,10,12,10,10,10
1,180,12,113,9,11,10,10,10,11,8,9,10,10,12,10,11,9,9,12,9,9,10,10,11,13,9,11,11,8,9,10,9,11
1,180,12,114,9,13,13,14,12,11,14,13,13,13,13,14,14,14,16,17,15,14,17,21,23,20,18,18,20,21,19,20,21,23
1,180,12,115,32,85,81,51,37,31,27,27,22,28,36,34,36,36,43,41,34,25,34,46,47,42,34,33,32,31,26,27,28,26
1,180,12,116,29,76,66,44,31,26,22,22,21,19,16,19,20,17,18,16,16,15,15,17,17,16,13,16,13,12,14,12,11,10
1,180,12,117,12,14,12,10,10,10,10,9,12,9,10,11,11,11,7,13,9,9,11,9,10,10,12,9,10,11,12,10,11,7
1,181,10,116,11,12,12,8,11,10,10,11,12,9,10,12,10,10,9,11,11,15,10,8,10,8,8,10,9,10,7,9,10,11
1,181,10,117,12,18,17,17,13,11,11,12,11,13,11,12,12,10,12,10,13,10,12,14,10,13,12,7,9,10,9,10,12,11
1,181,10,118,12,16,16,16,14,12,12,10,11,11,11,12,10,12,10,13,10,9,13,12,8,10,11,8,10,10,11,10,9,9
1,181,10,119,10,11,10,11,12,9,10,8,11,10,9,12,9,10,12,12,9,10,10,9,9,10,9,9,11,8,11,9,10,11
1,181,11,114,10,12,8,12,10,11,10,10,7,10,8,9,11,9,7,8,11,11,11,11,10,10,11,12,11,11,9,10,11,9
1,181,11,115,10,9,10,10,9,12,9,10,10,8,12,9,8,9,12,9,11,11,10,12,12,12,9,13,9,11,11,13,13,17
1,181,11,116,15,18,16,12,14,19,19,24,32,40,37,32,27,22,18,19,18,21,20,23,30,30,34,34,29,23,21,22,26,45
